session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
botw78do,1,sur9pnvv,0,,InitializeParticipant,1699995000,1,0,0
botw78do,2,t823l9ru,0,,InitializeParticipant,1699995013,1,0,0
botw78do,1,sur9pnvv,1,survey,Landing,1699995017,1,0,0
botw78do,2,t823l9ru,1,survey,Landing,1699995053,1,0,0
botw78do,2,t823l9ru,2,survey,SzenarioOne,1699995098,1,0,0
botw78do,2,t823l9ru,3,survey,SzenarioOneOutcome,1699995130,1,0,0
botw78do,3,yypjednx,0,,InitializeParticipant,1699995138,1,0,0
botw78do,1,sur9pnvv,2,survey,SzenarioOne,1699995141,1,0,0
botw78do,3,yypjednx,1,survey,Landing,1699995147,1,0,0
botw78do,2,t823l9ru,4,survey,SzenarioTwo,1699995168,1,0,0
botw78do,1,sur9pnvv,3,survey,SzenarioOneOutcome,1699995175,1,0,0
botw78do,3,yypjednx,2,survey,SzenarioOne,1699995184,1,0,0
botw78do,2,t823l9ru,5,survey,SzenarioTwoOutcome,1699995192,1,0,0
botw78do,2,t823l9ru,6,survey,SzenarioThree,1699995212,1,0,0
botw78do,1,sur9pnvv,4,survey,SzenarioTwo,1699995215,1,0,0
botw78do,3,yypjednx,3,survey,SzenarioOneOutcome,1699995229,1,0,0
botw78do,2,t823l9ru,7,survey,SzenarioThreeOutcome,1699995245,1,0,0
botw78do,3,yypjednx,4,survey,SzenarioTwo,1699995251,1,0,0
botw78do,1,sur9pnvv,5,survey,SzenarioTwoOutcome,1699995263,1,0,0
botw78do,3,yypjednx,5,survey,SzenarioTwoOutcome,1699995288,1,0,0
botw78do,2,t823l9ru,8,survey,SzenarioFour,1699995288,1,0,0
botw78do,3,yypjednx,6,survey,SzenarioThree,1699995313,1,0,0
botw78do,2,t823l9ru,9,survey,SzenarioFourOutcome,1699995337,1,0,0
botw78do,3,yypjednx,7,survey,SzenarioThreeOutcome,1699995362,1,0,0
botw78do,1,sur9pnvv,6,survey,SzenarioThree,1699995366,1,0,0
botw78do,2,t823l9ru,11,survey,Experience,1699995389,1,0,0
botw78do,2,t823l9ru,12,survey,Feedback,1699995394,1,0,0
botw78do,1,sur9pnvv,7,survey,SzenarioThreeOutcome,1699995412,1,0,0
botw78do,3,yypjednx,8,survey,SzenarioFour,1699995475,1,0,0
botw78do,1,sur9pnvv,8,survey,SzenarioFour,1699995499,1,0,0
botw78do,3,yypjednx,9,survey,SzenarioFourOutcome,1699995506,1,0,0
botw78do,1,sur9pnvv,9,survey,SzenarioFourOutcome,1699995535,1,0,0
botw78do,3,yypjednx,11,survey,Experience,1699995567,1,0,0
botw78do,3,yypjednx,12,survey,Feedback,1699995573,1,0,0
botw78do,1,sur9pnvv,11,survey,Experience,1699995645,1,0,0
botw78do,1,sur9pnvv,12,survey,Feedback,1699995653,1,0,0
botw78do,4,h9knchbh,0,,InitializeParticipant,1699995875,1,0,0
botw78do,4,h9knchbh,1,survey,Landing,1699995900,1,0,0
botw78do,4,h9knchbh,2,survey,SzenarioOne,1699995985,1,0,0
botw78do,5,74cwdyk4,0,,InitializeParticipant,1699996033,1,0,0
botw78do,4,h9knchbh,3,survey,SzenarioOneOutcome,1699996040,1,0,0
botw78do,4,h9knchbh,4,survey,SzenarioTwo,1699996071,1,0,0
botw78do,4,h9knchbh,5,survey,SzenarioTwoOutcome,1699996102,1,0,0
botw78do,4,h9knchbh,6,survey,SzenarioThree,1699996145,1,0,0
botw78do,6,gquhryrd,0,,InitializeParticipant,1699996150,1,0,0
botw78do,4,h9knchbh,7,survey,SzenarioThreeOutcome,1699996182,1,0,0
botw78do,7,gjvxqrn1,0,,InitializeParticipant,1699996226,1,0,0
botw78do,7,gjvxqrn1,1,survey,Landing,1699996253,1,0,0
botw78do,4,h9knchbh,8,survey,SzenarioFour,1699996273,1,0,0
botw78do,4,h9knchbh,9,survey,SzenarioFourOutcome,1699996303,1,0,0
botw78do,8,b6vssb7d,0,,InitializeParticipant,1699996316,1,0,0
botw78do,7,gjvxqrn1,2,survey,SzenarioOne,1699996321,1,0,0
botw78do,6,gquhryrd,1,survey,Landing,1699996338,1,0,0
botw78do,8,b6vssb7d,1,survey,Landing,1699996360,1,0,0
botw78do,4,h9knchbh,11,survey,Experience,1699996377,1,0,0
botw78do,4,h9knchbh,12,survey,Feedback,1699996380,1,0,0
botw78do,9,i8mgm0y8,0,,InitializeParticipant,1699996406,1,0,0
botw78do,8,b6vssb7d,2,survey,SzenarioOne,1699996407,1,0,0
botw78do,10,fegzp2z8,0,,InitializeParticipant,1699996407,1,0,0
botw78do,7,gjvxqrn1,3,survey,SzenarioOneOutcome,1699996410,1,0,0
botw78do,6,gquhryrd,2,survey,SzenarioOne,1699996432,1,0,0
botw78do,9,i8mgm0y8,1,survey,Landing,1699996446,1,0,0
botw78do,8,b6vssb7d,3,survey,SzenarioOneOutcome,1699996460,1,0,0
botw78do,10,fegzp2z8,1,survey,Landing,1699996478,1,0,0
botw78do,7,gjvxqrn1,4,survey,SzenarioTwo,1699996487,1,0,0
botw78do,8,b6vssb7d,4,survey,SzenarioTwo,1699996489,1,0,0
botw78do,9,i8mgm0y8,2,survey,SzenarioOne,1699996508,1,0,0
botw78do,8,b6vssb7d,5,survey,SzenarioTwoOutcome,1699996513,1,0,0
botw78do,10,fegzp2z8,2,survey,SzenarioOne,1699996514,1,0,0
botw78do,6,gquhryrd,3,survey,SzenarioOneOutcome,1699996525,1,0,0
botw78do,8,b6vssb7d,6,survey,SzenarioThree,1699996547,1,0,0
botw78do,6,gquhryrd,4,survey,SzenarioTwo,1699996550,1,0,0
botw78do,10,fegzp2z8,3,survey,SzenarioOneOutcome,1699996555,1,0,0
botw78do,7,gjvxqrn1,5,survey,SzenarioTwoOutcome,1699996563,1,0,0
botw78do,6,gquhryrd,5,survey,SzenarioTwoOutcome,1699996584,1,0,0
botw78do,8,b6vssb7d,7,survey,SzenarioThreeOutcome,1699996598,1,0,0
botw78do,9,i8mgm0y8,3,survey,SzenarioOneOutcome,1699996608,1,0,0
botw78do,10,fegzp2z8,4,survey,SzenarioTwo,1699996610,1,0,0
botw78do,6,gquhryrd,6,survey,SzenarioThree,1699996612,1,0,0
botw78do,7,gjvxqrn1,6,survey,SzenarioThree,1699996627,1,0,0
botw78do,10,fegzp2z8,5,survey,SzenarioTwoOutcome,1699996639,1,0,0
botw78do,8,b6vssb7d,8,survey,SzenarioFour,1699996652,1,0,0
botw78do,6,gquhryrd,7,survey,SzenarioThreeOutcome,1699996655,1,0,0
botw78do,8,b6vssb7d,9,survey,SzenarioFourOutcome,1699996673,1,0,0
botw78do,6,gquhryrd,8,survey,SzenarioFour,1699996680,1,0,0
botw78do,7,gjvxqrn1,7,survey,SzenarioThreeOutcome,1699996693,1,0,0
botw78do,6,gquhryrd,9,survey,SzenarioFourOutcome,1699996698,1,0,0
botw78do,9,i8mgm0y8,4,survey,SzenarioTwo,1699996702,1,0,0
botw78do,10,fegzp2z8,6,survey,SzenarioThree,1699996706,1,0,0
botw78do,11,zk383ne9,0,,InitializeParticipant,1699996745,1,0,0
botw78do,10,fegzp2z8,7,survey,SzenarioThreeOutcome,1699996747,1,0,0
botw78do,11,zk383ne9,1,survey,Landing,1699996748,1,0,0
botw78do,12,spe0bou8,0,,InitializeParticipant,1699996761,1,0,0
botw78do,12,spe0bou8,1,survey,Landing,1699996766,1,0,0
botw78do,7,gjvxqrn1,8,survey,SzenarioFour,1699996769,1,0,0
botw78do,11,zk383ne9,2,survey,SzenarioOne,1699996778,1,0,0
botw78do,9,i8mgm0y8,5,survey,SzenarioTwoOutcome,1699996803,1,0,0
botw78do,10,fegzp2z8,8,survey,SzenarioFour,1699996809,1,0,0
botw78do,6,gquhryrd,11,survey,Experience,1699996810,1,0,0
botw78do,11,zk383ne9,3,survey,SzenarioOneOutcome,1699996811,1,0,0
botw78do,6,gquhryrd,12,survey,Feedback,1699996815,1,0,0
botw78do,12,spe0bou8,2,survey,SzenarioOne,1699996818,1,0,0
botw78do,11,zk383ne9,4,survey,SzenarioTwo,1699996825,1,0,0
botw78do,13,aolcca6b,0,,InitializeParticipant,1699996832,1,0,0
botw78do,10,fegzp2z8,9,survey,SzenarioFourOutcome,1699996839,1,0,0
botw78do,11,zk383ne9,5,survey,SzenarioTwoOutcome,1699996850,1,0,0
botw78do,12,spe0bou8,3,survey,SzenarioOneOutcome,1699996858,1,0,0
botw78do,11,zk383ne9,6,survey,SzenarioThree,1699996861,1,0,0
botw78do,7,gjvxqrn1,9,survey,SzenarioFourOutcome,1699996863,1,0,0
botw78do,9,i8mgm0y8,6,survey,SzenarioThree,1699996866,1,0,0
botw78do,13,aolcca6b,1,survey,Landing,1699996881,1,0,0
botw78do,12,spe0bou8,4,survey,SzenarioTwo,1699996883,1,0,0
botw78do,11,zk383ne9,7,survey,SzenarioThreeOutcome,1699996885,1,0,0
botw78do,12,spe0bou8,5,survey,SzenarioTwoOutcome,1699996906,1,0,0
botw78do,11,zk383ne9,8,survey,SzenarioFour,1699996907,1,0,0
botw78do,10,fegzp2z8,11,survey,Experience,1699996912,1,0,0
botw78do,13,aolcca6b,2,survey,SzenarioOne,1699996918,1,0,0
botw78do,10,fegzp2z8,12,survey,Feedback,1699996921,1,0,0
botw78do,12,spe0bou8,6,survey,SzenarioThree,1699996928,1,0,0
botw78do,11,zk383ne9,9,survey,SzenarioFourOutcome,1699996934,1,0,0
botw78do,12,spe0bou8,7,survey,SzenarioThreeOutcome,1699996951,1,0,0
botw78do,13,aolcca6b,3,survey,SzenarioOneOutcome,1699996964,1,0,0
botw78do,7,gjvxqrn1,11,survey,Experience,1699996967,1,0,0
botw78do,12,spe0bou8,8,survey,SzenarioFour,1699996971,1,0,0
botw78do,7,gjvxqrn1,12,survey,Feedback,1699996975,1,0,0
botw78do,9,i8mgm0y8,7,survey,SzenarioThreeOutcome,1699996979,1,0,0
botw78do,11,zk383ne9,11,survey,Experience,1699996995,1,0,0
botw78do,11,zk383ne9,12,survey,Feedback,1699997000,1,0,0
botw78do,13,aolcca6b,4,survey,SzenarioTwo,1699997006,1,0,0
botw78do,12,spe0bou8,9,survey,SzenarioFourOutcome,1699997035,1,0,0
botw78do,13,aolcca6b,5,survey,SzenarioTwoOutcome,1699997038,1,0,0
botw78do,9,i8mgm0y8,8,survey,SzenarioFour,1699997060,1,0,0
botw78do,13,aolcca6b,6,survey,SzenarioThree,1699997070,1,0,0
botw78do,12,spe0bou8,11,survey,Experience,1699997083,1,0,0
botw78do,12,spe0bou8,12,survey,Feedback,1699997085,1,0,0
botw78do,9,i8mgm0y8,9,survey,SzenarioFourOutcome,1699997097,1,0,0
botw78do,13,aolcca6b,7,survey,SzenarioThreeOutcome,1699997110,1,0,0
botw78do,13,aolcca6b,8,survey,SzenarioFour,1699997175,1,0,0
botw78do,9,i8mgm0y8,11,survey,Experience,1699997188,1,0,0
botw78do,9,i8mgm0y8,12,survey,Feedback,1699997194,1,0,0
botw78do,13,aolcca6b,9,survey,SzenarioFourOutcome,1699997208,1,0,0
botw78do,13,aolcca6b,11,survey,Experience,1699997272,1,0,0
botw78do,13,aolcca6b,12,survey,Feedback,1699997277,1,0,0
botw78do,14,n0v140s8,0,,InitializeParticipant,1699997437,1,0,0
botw78do,14,n0v140s8,1,survey,Landing,1699997445,1,0,0
botw78do,14,n0v140s8,2,survey,SzenarioOne,1699997483,1,0,0
botw78do,14,n0v140s8,3,survey,SzenarioOneOutcome,1699997576,1,0,0
botw78do,14,n0v140s8,4,survey,SzenarioTwo,1699997615,1,0,0
botw78do,15,umi2ae2r,0,,InitializeParticipant,1699997652,1,0,0
botw78do,15,umi2ae2r,1,survey,Landing,1699997663,1,0,0
botw78do,14,n0v140s8,5,survey,SzenarioTwoOutcome,1699997673,1,0,0
botw78do,14,n0v140s8,6,survey,SzenarioThree,1699997697,1,0,0
botw78do,14,n0v140s8,7,survey,SzenarioThreeOutcome,1699997716,1,0,0
botw78do,16,ot0ahn70,0,,InitializeParticipant,1699997740,1,0,0
botw78do,14,n0v140s8,8,survey,SzenarioFour,1699997740,1,0,0
botw78do,16,ot0ahn70,1,survey,Landing,1699997742,1,0,0
botw78do,14,n0v140s8,9,survey,SzenarioFourOutcome,1699997762,1,0,0
botw78do,16,ot0ahn70,2,survey,SzenarioOne,1699997769,1,0,0
botw78do,16,ot0ahn70,3,survey,SzenarioOneOutcome,1699997813,1,0,0
botw78do,15,umi2ae2r,2,survey,SzenarioOne,1699997818,1,0,0
botw78do,16,ot0ahn70,4,survey,SzenarioTwo,1699997836,1,0,0
botw78do,15,umi2ae2r,3,survey,SzenarioOneOutcome,1699997842,1,0,0
botw78do,16,ot0ahn70,5,survey,SzenarioTwoOutcome,1699997855,1,0,0
botw78do,15,umi2ae2r,4,survey,SzenarioTwo,1699997861,1,0,0
botw78do,15,umi2ae2r,5,survey,SzenarioTwoOutcome,1699997885,1,0,0
botw78do,16,ot0ahn70,6,survey,SzenarioThree,1699997891,1,0,0
botw78do,17,hc7t3stz,0,,InitializeParticipant,1699997896,1,0,0
botw78do,17,hc7t3stz,1,survey,Landing,1699997901,1,0,0
botw78do,16,ot0ahn70,7,survey,SzenarioThreeOutcome,1699997919,1,0,0
botw78do,17,hc7t3stz,2,survey,SzenarioOne,1699997929,1,0,0
botw78do,16,ot0ahn70,8,survey,SzenarioFour,1699997945,1,0,0
botw78do,17,hc7t3stz,3,survey,SzenarioOneOutcome,1699997958,1,0,0
botw78do,16,ot0ahn70,9,survey,SzenarioFourOutcome,1699997973,1,0,0
botw78do,17,hc7t3stz,4,survey,SzenarioTwo,1699997978,1,0,0
botw78do,16,ot0ahn70,11,survey,Experience,1699998015,1,0,0
botw78do,16,ot0ahn70,12,survey,Feedback,1699998020,1,0,0
botw78do,17,hc7t3stz,5,survey,SzenarioTwoOutcome,1699998046,1,0,0
botw78do,17,hc7t3stz,6,survey,SzenarioThree,1699998081,1,0,0
botw78do,17,hc7t3stz,7,survey,SzenarioThreeOutcome,1699998180,1,0,0
botw78do,18,ibvoc6sm,0,,InitializeParticipant,1699998196,1,0,0
botw78do,17,hc7t3stz,8,survey,SzenarioFour,1699998197,1,0,0
botw78do,18,ibvoc6sm,1,survey,Landing,1699998213,1,0,0
botw78do,17,hc7t3stz,9,survey,SzenarioFourOutcome,1699998248,1,0,0
botw78do,19,p2c1n5hi,0,,InitializeParticipant,1699998263,1,0,0
botw78do,18,ibvoc6sm,2,survey,SzenarioOne,1699998276,1,0,0
botw78do,18,ibvoc6sm,3,survey,SzenarioOneOutcome,1699998384,1,0,0
botw78do,18,ibvoc6sm,4,survey,SzenarioTwo,1699998414,1,0,0
botw78do,18,ibvoc6sm,5,survey,SzenarioTwoOutcome,1699998458,1,0,0
botw78do,19,p2c1n5hi,1,survey,Landing,1699998470,1,0,0
botw78do,18,ibvoc6sm,6,survey,SzenarioThree,1699998487,1,0,0
botw78do,17,hc7t3stz,11,survey,Experience,1699998493,1,0,0
botw78do,17,hc7t3stz,12,survey,Feedback,1699998496,1,0,0
botw78do,18,ibvoc6sm,7,survey,SzenarioThreeOutcome,1699998548,1,0,0
botw78do,18,ibvoc6sm,8,survey,SzenarioFour,1699998565,1,0,0
botw78do,18,ibvoc6sm,9,survey,SzenarioFourOutcome,1699998641,1,0,0
botw78do,19,p2c1n5hi,2,survey,SzenarioOne,1699998645,1,0,0
botw78do,19,p2c1n5hi,3,survey,SzenarioOneOutcome,1699998683,1,0,0
botw78do,15,umi2ae2r,6,survey,SzenarioThree,1699998725,1,0,0
botw78do,19,p2c1n5hi,4,survey,SzenarioTwo,1699998732,1,0,0
botw78do,15,umi2ae2r,7,survey,SzenarioThreeOutcome,1699998745,1,0,0
botw78do,15,umi2ae2r,8,survey,SzenarioFour,1699998757,1,0,0
botw78do,15,umi2ae2r,9,survey,SzenarioFourOutcome,1699998770,1,0,0
botw78do,19,p2c1n5hi,5,survey,SzenarioTwoOutcome,1699998771,1,0,0
botw78do,18,ibvoc6sm,11,survey,Experience,1699998772,1,0,0
botw78do,15,umi2ae2r,11,survey,Experience,1699998808,1,0,0
botw78do,15,umi2ae2r,12,survey,Feedback,1699998811,1,0,0
botw78do,19,p2c1n5hi,6,survey,SzenarioThree,1699998811,1,0,0
botw78do,19,p2c1n5hi,7,survey,SzenarioThreeOutcome,1699998836,1,0,0
botw78do,18,ibvoc6sm,12,survey,Feedback,1699998864,1,0,0
botw78do,19,p2c1n5hi,8,survey,SzenarioFour,1699998927,1,0,0
botw78do,19,p2c1n5hi,9,survey,SzenarioFourOutcome,1699998944,1,0,0
botw78do,19,p2c1n5hi,11,survey,Experience,1699999003,1,0,0
botw78do,19,p2c1n5hi,12,survey,Feedback,1699999010,1,0,0
botw78do,20,wri452zu,0,,InitializeParticipant,1700000041,1,0,0
botw78do,20,wri452zu,1,survey,Landing,1700000070,1,0,0
botw78do,20,wri452zu,2,survey,SzenarioOne,1700000144,1,0,0
botw78do,20,wri452zu,3,survey,SzenarioOneOutcome,1700000211,1,0,0
botw78do,20,wri452zu,4,survey,SzenarioTwo,1700000253,1,0,0
botw78do,20,wri452zu,5,survey,SzenarioTwoOutcome,1700000307,1,0,0
botw78do,21,sc6h9v66,0,,InitializeParticipant,1700000364,1,0,0
botw78do,20,wri452zu,6,survey,SzenarioThree,1700000372,1,0,0
botw78do,21,sc6h9v66,1,survey,Landing,1700000374,1,0,0
botw78do,20,wri452zu,7,survey,SzenarioThreeOutcome,1700000421,1,0,0
botw78do,21,sc6h9v66,2,survey,SzenarioOne,1700000442,1,0,0
botw78do,20,wri452zu,8,survey,SzenarioFour,1700000491,1,0,0
botw78do,20,wri452zu,9,survey,SzenarioFourOutcome,1700000516,1,0,0
botw78do,21,sc6h9v66,3,survey,SzenarioOneOutcome,1700000519,1,0,0
botw78do,21,sc6h9v66,4,survey,SzenarioTwo,1700000604,1,0,0
botw78do,20,wri452zu,11,survey,Experience,1700000621,1,0,0
botw78do,20,wri452zu,12,survey,Feedback,1700000625,1,0,0
botw78do,21,sc6h9v66,5,survey,SzenarioTwoOutcome,1700000658,1,0,0
botw78do,21,sc6h9v66,6,survey,SzenarioThree,1700000736,1,0,0
botw78do,21,sc6h9v66,7,survey,SzenarioThreeOutcome,1700000769,1,0,0
botw78do,21,sc6h9v66,8,survey,SzenarioFour,1700000805,1,0,0
botw78do,21,sc6h9v66,9,survey,SzenarioFourOutcome,1700000832,1,0,0
botw78do,21,sc6h9v66,11,survey,Experience,1700001098,1,0,0
botw78do,21,sc6h9v66,12,survey,Feedback,1700001114,1,0,0
botw78do,22,p88rxesf,0,,InitializeParticipant,1700001319,1,0,0
botw78do,22,p88rxesf,1,survey,Landing,1700001343,1,0,0
botw78do,22,p88rxesf,2,survey,SzenarioOne,1700001379,1,0,0
botw78do,23,1opepm7p,0,,InitializeParticipant,1700002514,1,0,0
botw78do,23,1opepm7p,1,survey,Landing,1700002518,1,0,0
botw78do,23,1opepm7p,2,survey,SzenarioOne,1700002553,1,0,0
botw78do,23,1opepm7p,3,survey,SzenarioOneOutcome,1700002585,1,0,0
botw78do,23,1opepm7p,4,survey,SzenarioTwo,1700002604,1,0,0
botw78do,23,1opepm7p,5,survey,SzenarioTwoOutcome,1700002629,1,0,0
botw78do,23,1opepm7p,6,survey,SzenarioThree,1700002666,1,0,0
botw78do,23,1opepm7p,7,survey,SzenarioThreeOutcome,1700002699,1,0,0
botw78do,23,1opepm7p,8,survey,SzenarioFour,1700002726,1,0,0
botw78do,23,1opepm7p,9,survey,SzenarioFourOutcome,1700002742,1,0,0
botw78do,23,1opepm7p,11,survey,Experience,1700002782,1,0,0
botw78do,23,1opepm7p,12,survey,Feedback,1700002786,1,0,0
botw78do,24,fomhzkbt,0,,InitializeParticipant,1700003970,1,0,0
botw78do,24,fomhzkbt,1,survey,Landing,1700003990,1,0,0
botw78do,24,fomhzkbt,2,survey,SzenarioOne,1700004027,1,0,0
botw78do,24,fomhzkbt,3,survey,SzenarioOneOutcome,1700004057,1,0,0
botw78do,24,fomhzkbt,4,survey,SzenarioTwo,1700004091,1,0,0
botw78do,24,fomhzkbt,5,survey,SzenarioTwoOutcome,1700004168,1,0,0
botw78do,24,fomhzkbt,6,survey,SzenarioThree,1700004171,1,0,0
botw78do,24,fomhzkbt,7,survey,SzenarioThreeOutcome,1700004188,1,0,0
botw78do,24,fomhzkbt,8,survey,SzenarioFour,1700004195,1,0,0
botw78do,24,fomhzkbt,9,survey,SzenarioFourOutcome,1700004219,1,0,0
botw78do,25,5drw5d2g,0,,InitializeParticipant,1700009581,1,0,0
botw78do,25,5drw5d2g,1,survey,Landing,1700009585,1,0,0
botw78do,25,5drw5d2g,2,survey,SzenarioOne,1700009610,1,0,0
botw78do,25,5drw5d2g,3,survey,SzenarioOneOutcome,1700009636,1,0,0
botw78do,25,5drw5d2g,4,survey,SzenarioTwo,1700009653,1,0,0
botw78do,25,5drw5d2g,5,survey,SzenarioTwoOutcome,1700009674,1,0,0
botw78do,25,5drw5d2g,6,survey,SzenarioThree,1700009678,1,0,0
botw78do,25,5drw5d2g,7,survey,SzenarioThreeOutcome,1700009705,1,0,0
botw78do,25,5drw5d2g,8,survey,SzenarioFour,1700009709,1,0,0
botw78do,25,5drw5d2g,9,survey,SzenarioFourOutcome,1700009719,1,0,0
botw78do,25,5drw5d2g,11,survey,Experience,1700009753,1,0,0
botw78do,25,5drw5d2g,12,survey,Feedback,1700009755,1,0,0
botw78do,26,in2a7v6o,0,,InitializeParticipant,1700027204,1,0,0
botw78do,26,in2a7v6o,1,survey,Landing,1700027227,1,0,0
botw78do,26,in2a7v6o,2,survey,SzenarioOne,1700027248,1,0,0
botw78do,26,in2a7v6o,3,survey,SzenarioOneOutcome,1700027282,1,0,0
botw78do,26,in2a7v6o,4,survey,SzenarioTwo,1700027316,1,0,0
botw78do,26,in2a7v6o,5,survey,SzenarioTwoOutcome,1700027348,1,0,0
botw78do,26,in2a7v6o,6,survey,SzenarioThree,1700027411,1,0,0
botw78do,26,in2a7v6o,7,survey,SzenarioThreeOutcome,1700027432,1,0,0
botw78do,26,in2a7v6o,8,survey,SzenarioFour,1700027461,1,0,0
botw78do,26,in2a7v6o,9,survey,SzenarioFourOutcome,1700027489,1,0,0
botw78do,26,in2a7v6o,11,survey,Experience,1700027532,1,0,0
botw78do,26,in2a7v6o,12,survey,Feedback,1700027534,1,0,0
botw78do,27,corltfqz,0,,InitializeParticipant,1700028774,1,0,0
botw78do,27,corltfqz,1,survey,Landing,1700028802,1,0,0
botw78do,27,corltfqz,2,survey,SzenarioOne,1700028862,1,0,0
botw78do,27,corltfqz,3,survey,SzenarioOneOutcome,1700028932,1,0,0
botw78do,27,corltfqz,4,survey,SzenarioTwo,1700029004,1,0,0
botw78do,27,corltfqz,5,survey,SzenarioTwoOutcome,1700029064,1,0,0
botw78do,27,corltfqz,6,survey,SzenarioThree,1700029105,1,0,0
botw78do,27,corltfqz,7,survey,SzenarioThreeOutcome,1700029160,1,0,0
botw78do,27,corltfqz,8,survey,SzenarioFour,1700029235,1,0,0
botw78do,27,corltfqz,9,survey,SzenarioFourOutcome,1700029279,1,0,0
botw78do,27,corltfqz,11,survey,Experience,1700029373,1,0,0
botw78do,27,corltfqz,12,survey,Feedback,1700029494,1,0,0
botw78do,28,e08asqlc,0,,InitializeParticipant,1700031792,1,0,0
botw78do,28,e08asqlc,1,survey,Landing,1700031799,1,0,0
botw78do,28,e08asqlc,2,survey,SzenarioOne,1700031835,1,0,0
botw78do,28,e08asqlc,3,survey,SzenarioOneOutcome,1700031881,1,0,0
botw78do,28,e08asqlc,4,survey,SzenarioTwo,1700031901,1,0,0
botw78do,28,e08asqlc,5,survey,SzenarioTwoOutcome,1700031926,1,0,0
botw78do,28,e08asqlc,6,survey,SzenarioThree,1700031941,1,0,0
botw78do,28,e08asqlc,7,survey,SzenarioThreeOutcome,1700031971,1,0,0
botw78do,28,e08asqlc,8,survey,SzenarioFour,1700031995,1,0,0
botw78do,28,e08asqlc,9,survey,SzenarioFourOutcome,1700032029,1,0,0
botw78do,29,dt4tf69t,0,,InitializeParticipant,1700039170,1,0,0
botw78do,29,dt4tf69t,1,survey,Landing,1700039179,1,0,0
botw78do,29,dt4tf69t,2,survey,SzenarioOne,1700039194,1,0,0
botw78do,29,dt4tf69t,3,survey,SzenarioOneOutcome,1700039221,1,0,0
botw78do,29,dt4tf69t,4,survey,SzenarioTwo,1700039244,1,0,0
botw78do,29,dt4tf69t,5,survey,SzenarioTwoOutcome,1700039268,1,0,0
botw78do,29,dt4tf69t,6,survey,SzenarioThree,1700039288,1,0,0
botw78do,29,dt4tf69t,7,survey,SzenarioThreeOutcome,1700039312,1,0,0
botw78do,29,dt4tf69t,8,survey,SzenarioFour,1700039503,1,0,0
botw78do,29,dt4tf69t,9,survey,SzenarioFourOutcome,1700039534,1,0,0
botw78do,29,dt4tf69t,11,survey,Experience,1700039620,1,0,0
botw78do,29,dt4tf69t,12,survey,Feedback,1700039623,1,0,0
botw78do,30,g333nogw,0,,InitializeParticipant,1700039704,1,0,0
botw78do,30,g333nogw,1,survey,Landing,1700039721,1,0,0
botw78do,30,g333nogw,2,survey,SzenarioOne,1700039753,1,0,0
botw78do,30,g333nogw,3,survey,SzenarioOneOutcome,1700039787,1,0,0
botw78do,30,g333nogw,4,survey,SzenarioTwo,1700039829,1,0,0
botw78do,30,g333nogw,5,survey,SzenarioTwoOutcome,1700039857,1,0,0
